Location_ID,Sensing_DateTime,Sensing_Date,Sensing_Time,Direction_1,Direction_2,Total_of_Directions
72,2025-05-25T04:42:00+02:00,2025-05-25,12:42,2,6,8
72,2025-05-25T04:43:00+02:00,2025-05-25,12:43,5,6,11
72,2025-05-25T04:45:00+02:00,2025-05-25,12:45,8,12,20
72,2025-05-25T04:48:00+02:00,2025-05-25,12:48,4,15,19
72,2025-05-25T04:49:00+02:00,2025-05-25,12:49,2,21,23
72,2025-05-25T04:51:00+02:00,2025-05-25,12:51,7,5,12
76,2025-05-25T04:46:00+02:00,2025-05-25,12:46,1,0,1
76,2025-05-25T04:47:00+02:00,2025-05-25,12:47,2,2,4
76,2025-05-25T04:48:00+02:00,2025-05-25,12:48,0,2,2
79,2025-05-25T04:47:00+02:00,2025-05-25,12:47,6,7,13
79,2025-05-25T04:50:00+02:00,2025-05-25,12:50,10,6,16
79,2025-05-25T04:53:00+02:00,2025-05-25,12:53,6,6,12
85,2025-05-25T04:42:00+02:00,2025-05-25,12:42,1,0,1
85,2025-05-25T04:48:00+02:00,2025-05-25,12:48,3,2,5
85,2025-05-25T04:49:00+02:00,2025-05-25,12:49,2,5,7
85,2025-05-25T04:52:00+02:00,2025-05-25,12:52,0,4,4
86,2025-05-25T04:40:00+02:00,2025-05-25,12:40,1,1,2
86,2025-05-25T04:45:00+02:00,2025-05-25,12:45,2,2,4
86,2025-05-25T04:47:00+02:00,2025-05-25,12:47,1,0,1
109,2025-05-25T04:40:00+02:00,2025-05-25,12:40,4,1,5
109,2025-05-25T04:50:00+02:00,2025-05-25,12:50,7,9,16
117,2025-05-25T04:40:00+02:00,2025-05-25,12:40,11,13,24
123,2025-05-25T04:45:00+02:00,2025-05-25,12:45,5,0,5
130,2025-05-25T04:40:00+02:00,2025-05-25,12:40,3,2,5
130,2025-05-25T04:50:00+02:00,2025-05-25,12:50,12,3,15
137,2025-05-25T04:40:00+02:00,2025-05-25,12:40,2,0,2
137,2025-05-25T04:45:00+02:00,2025-05-25,12:45,3,0,3
137,2025-05-25T04:50:00+02:00,2025-05-25,12:50,0,5,5
141,2025-05-25T04:40:00+02:00,2025-05-25,12:40,10,15,25
142,2025-05-25T04:45:00+02:00,2025-05-25,12:45,48,45,93
161,2025-05-25T04:40:00+02:00,2025-05-25,12:40,47,26,73
181,2025-05-25T04:42:00+02:00,2025-05-25,12:42,14,25,39
181,2025-05-25T04:43:00+02:00,2025-05-25,12:43,8,15,23
181,2025-05-25T04:44:00+02:00,2025-05-25,12:44,0,21,21
181,2025-05-25T04:50:00+02:00,2025-05-25,12:50,25,16,41
181,2025-05-25T04:52:00+02:00,2025-05-25,12:52,11,24,35
182,2025-05-25T04:45:00+02:00,2025-05-25,12:45,12,11,23
180,2025-05-25T04:42:00+02:00,2025-05-25,12:42,1,0,1
3,2025-05-25T02:11:00+02:00,2025-05-25,10:11,3,2,5
3,2025-05-25T02:13:00+02:00,2025-05-25,10:13,1,9,10
3,2025-05-25T02:23:00+02:00,2025-05-25,10:23,8,4,12
4,2025-05-25T02:10:00+02:00,2025-05-25,10:10,14,1,15
4,2025-05-25T02:22:00+02:00,2025-05-25,10:22,10,6,16
4,2025-05-25T02:24:00+02:00,2025-05-25,10:24,19,2,21
6,2025-05-25T02:11:00+02:00,2025-05-25,10:11,16,2,18
6,2025-05-25T02:12:00+02:00,2025-05-25,10:12,17,4,21
6,2025-05-25T02:13:00+02:00,2025-05-25,10:13,5,1,6
6,2025-05-25T02:14:00+02:00,2025-05-25,10:14,11,4,15
6,2025-05-25T02:15:00+02:00,2025-05-25,10:15,9,8,17
6,2025-05-25T02:16:00+02:00,2025-05-25,10:16,8,2,10
6,2025-05-25T02:21:00+02:00,2025-05-25,10:21,15,8,23
6,2025-05-25T02:22:00+02:00,2025-05-25,10:22,18,10,28
8,2025-05-25T02:12:00+02:00,2025-05-25,10:12,0,4,4
8,2025-05-25T02:14:00+02:00,2025-05-25,10:14,2,1,3
8,2025-05-25T02:15:00+02:00,2025-05-25,10:15,0,2,2
8,2025-05-25T02:16:00+02:00,2025-05-25,10:16,0,3,3
8,2025-05-25T02:17:00+02:00,2025-05-25,10:17,0,5,5
8,2025-05-25T02:20:00+02:00,2025-05-25,10:20,3,3,6
8,2025-05-25T02:22:00+02:00,2025-05-25,10:22,0,6,6
28,2025-05-25T02:11:00+02:00,2025-05-25,10:11,4,3,7
28,2025-05-25T02:15:00+02:00,2025-05-25,10:15,0,1,1
29,2025-05-25T02:11:00+02:00,2025-05-25,10:11,9,4,13
29,2025-05-25T02:12:00+02:00,2025-05-25,10:12,12,2,14
29,2025-05-25T02:20:00+02:00,2025-05-25,10:20,4,6,10
29,2025-05-25T02:23:00+02:00,2025-05-25,10:23,4,0,4
31,2025-05-25T02:13:00+02:00,2025-05-25,10:13,1,0,1
31,2025-05-25T02:14:00+02:00,2025-05-25,10:14,1,0,1
31,2025-05-25T02:15:00+02:00,2025-05-25,10:15,0,1,1
31,2025-05-25T02:17:00+02:00,2025-05-25,10:17,0,1,1
31,2025-05-25T02:20:00+02:00,2025-05-25,10:20,0,3,3
31,2025-05-25T02:22:00+02:00,2025-05-25,10:22,2,0,2
31,2025-05-25T02:23:00+02:00,2025-05-25,10:23,3,3,6
36,2025-05-25T02:10:00+02:00,2025-05-25,10:10,0,8,8
36,2025-05-25T02:12:00+02:00,2025-05-25,10:12,4,0,4
36,2025-05-25T02:13:00+02:00,2025-05-25,10:13,8,1,9
36,2025-05-25T02:15:00+02:00,2025-05-25,10:15,1,1,2
36,2025-05-25T02:16:00+02:00,2025-05-25,10:16,4,2,6
36,2025-05-25T02:17:00+02:00,2025-05-25,10:17,1,1,2
36,2025-05-25T02:23:00+02:00,2025-05-25,10:23,6,0,6
37,2025-05-25T02:12:00+02:00,2025-05-25,10:12,8,0,8
37,2025-05-25T02:14:00+02:00,2025-05-25,10:14,0,4,4
37,2025-05-25T02:16:00+02:00,2025-05-25,10:16,0,3,3
39,2025-05-25T02:10:00+02:00,2025-05-25,10:10,1,1,2
39,2025-05-25T02:14:00+02:00,2025-05-25,10:14,0,4,4
39,2025-05-25T02:16:00+02:00,2025-05-25,10:16,0,5,5
39,2025-05-25T02:20:00+02:00,2025-05-25,10:20,0,2,2
39,2025-05-25T02:24:00+02:00,2025-05-25,10:24,0,1,1
40,2025-05-25T02:13:00+02:00,2025-05-25,10:13,9,0,9
40,2025-05-25T02:17:00+02:00,2025-05-25,10:17,0,1,1
40,2025-05-25T02:18:00+02:00,2025-05-25,10:18,6,1,7
41,2025-05-25T02:14:00+02:00,2025-05-25,10:14,1,6,7
41,2025-05-25T02:15:00+02:00,2025-05-25,10:15,5,5,10
41,2025-05-25T02:16:00+02:00,2025-05-25,10:16,3,0,3
41,2025-05-25T02:20:00+02:00,2025-05-25,10:20,3,0,3
43,2025-05-25T02:15:00+02:00,2025-05-25,10:15,1,5,6
44,2025-05-25T02:10:00+02:00,2025-05-25,10:10,3,4,7
45,2025-05-25T02:11:00+02:00,2025-05-25,10:11,3,2,5
45,2025-05-25T02:12:00+02:00,2025-05-25,10:12,8,5,13
45,2025-05-25T02:15:00+02:00,2025-05-25,10:15,5,0,5
45,2025-05-25T02:16:00+02:00,2025-05-25,10:16,5,3,8
45,2025-05-25T02:23:00+02:00,2025-05-25,10:23,5,3,8
45,2025-05-25T02:24:00+02:00,2025-05-25,10:24,8,3,11
47,2025-05-25T02:12:00+02:00,2025-05-25,10:12,8,6,14
47,2025-05-25T02:15:00+02:00,2025-05-25,10:15,8,14,22
47,2025-05-25T02:16:00+02:00,2025-05-25,10:16,3,4,7
47,2025-05-25T02:17:00+02:00,2025-05-25,10:17,10,8,18
47,2025-05-25T02:20:00+02:00,2025-05-25,10:20,12,12,24
47,2025-05-25T02:23:00+02:00,2025-05-25,10:23,8,12,20
50,2025-05-25T02:11:00+02:00,2025-05-25,10:11,1,3,4
50,2025-05-25T02:13:00+02:00,2025-05-25,10:13,4,0,4
50,2025-05-25T02:15:00+02:00,2025-05-25,10:15,0,2,2
50,2025-05-25T02:16:00+02:00,2025-05-25,10:16,2,4,6
50,2025-05-25T02:20:00+02:00,2025-05-25,10:20,2,0,2
50,2025-05-25T02:24:00+02:00,2025-05-25,10:24,1,3,4
54,2025-05-25T02:13:00+02:00,2025-05-25,10:13,0,1,1
54,2025-05-25T02:19:00+02:00,2025-05-25,10:19,1,0,1
54,2025-05-25T02:23:00+02:00,2025-05-25,10:23,0,2,2
54,2025-05-25T02:24:00+02:00,2025-05-25,10:24,2,1,3
59,2025-05-25T02:10:00+02:00,2025-05-25,10:10,4,28,32
61,2025-05-25T02:13:00+02:00,2025-05-25,10:13,2,1,3
61,2025-05-25T02:16:00+02:00,2025-05-25,10:16,1,6,7
61,2025-05-25T02:17:00+02:00,2025-05-25,10:17,3,10,13
61,2025-05-25T02:22:00+02:00,2025-05-25,10:22,3,3,6
61,2025-05-25T02:23:00+02:00,2025-05-25,10:23,3,2,5
66,2025-05-25T02:10:00+02:00,2025-05-25,10:10,5,2,7
66,2025-05-25T02:12:00+02:00,2025-05-25,10:12,9,7,16
66,2025-05-25T02:20:00+02:00,2025-05-25,10:20,8,6,14
66,2025-05-25T02:21:00+02:00,2025-05-25,10:21,3,4,7
69,2025-05-25T02:13:00+02:00,2025-05-25,10:13,4,4,8
69,2025-05-25T02:15:00+02:00,2025-05-25,10:15,0,7,7
69,2025-05-25T02:17:00+02:00,2025-05-25,10:17,4,4,8
69,2025-05-25T02:19:00+02:00,2025-05-25,10:19,1,1,2
69,2025-05-25T02:21:00+02:00,2025-05-25,10:21,7,0,7
69,2025-05-25T02:23:00+02:00,2025-05-25,10:23,18,0,18
70,2025-05-25T02:20:00+02:00,2025-05-25,10:20,0,1,1
71,2025-05-25T02:11:00+02:00,2025-05-25,10:11,1,0,1
